fecha,lluvia_mm,eto_media_cuenca_mm,balance_diario_mm,lluvia_acum_7d,eto_acum_7d,balance_7d,lluvia_acum_30d,eto_acum_30d,balance_30d,lluvia_acum_90d,eto_acum_90d,balance_90d,lluvia_acum_180d,eto_acum_180d,balance_180d
2014-10-04,2.3546922211008363,3.4019289189233337,-1.0472366978224974,64.70089781266175,24.699229113308093,40.00166869935369,561.5671803321181,105.18743276634369,456.37974756577455,755.3771061496336,335.3939293346974,419.9831768149362,1001.857227995172,701.029337370038,300.8278906251342
2014-10-05,0.0,3.32717197039384,-3.32717197039384,61.7045682991982,24.296480960243215,37.408087338955006,557.426671322249,105.13130022083695,452.2953711014122,755.3557169398745,334.9645086388256,420.3912083010489,1001.857227995172,698.8881057596084,302.96912223556376
2014-10-06,0.0,2.9678117697434745,-2.9678117697434745,49.92118347983457,23.538634957255134,26.382548522579448,543.9599491211974,104.49415657936478,439.4657925418327,755.1636645037943,334.10287604630594,421.0607884574884,1001.857227995172,697.7427851569634,304.1144428382087
2014-10-07,4.3560844790487865,3.134948180005026,1.2211362990437604,34.44325300715335,23.166640125296436,11.276612881856936,525.0239469180756,103.78587322195169,421.23807369612393,759.5197489828431,333.4734021109032,426.04634687194,1006.2133124742209,696.7233722232048,309.48994025101604
2014-10-08,17.31501539146291,2.3694366430314604,14.945578748431451,42.087925747933404,21.932919204697487,20.15500654323594,524.4311366168137,102.06499598988992,422.36614062692377,776.834764374306,332.0993915513622,444.7353728229439,1023.5283278656838,694.6323737657062,328.8959540999776
2014-10-09,39.56263984594578,2.1681387769915355,37.39450106895425,66.11616353496188,20.819252351598966,45.29691118336295,550.115362671052,100.72596410631985,449.3893985647323,816.3974042202517,330.53231509592575,485.86508912432606,1063.0909677116294,692.4068086167118,370.6841590949178
2014-10-10,10.238391862209474,3.28749470223286,6.950897159976614,73.82682379976774,20.656930961321528,53.16989283844624,538.3501871794645,100.44409867909452,437.90608850037,826.6318468450169,330.2796028794221,496.3522439655948,1073.329359573839,690.9811338851321,382.34822568870703
2014-10-11,16.234351340213756,2.8114293815457847,13.42292195866797,87.70648291888067,20.066431423943982,67.6400514949367,525.4348137501617,99.67745150903242,425.75736224112933,839.8088961383183,329.43321513246224,510.37568100585605,1089.5637109140528,689.1434471044506,400.42026380960215
2014-10-12,31.061018390571395,3.1997030048912816,27.861315385680115,118.76750130945206,19.93896245844142,98.82853885101068,541.8818267401299,99.54662868939003,442.3351980507399,870.8699145288897,328.8070737810127,542.062840747877,1120.6205124892463,687.9237483512388,432.69676413800755
2014-10-13,20.276871007588397,2.786572081609391,17.490298925979005,139.04437231704046,19.75772277030734,119.28664954673314,523.4825878942976,99.13545822869536,424.34712966560227,889.6490679913734,327.91577818326624,561.7332898081072,1140.6830639437073,686.2616159303041,454.4214480134034
2014-10-14,14.429465938955536,2.666942147368147,11.76252379158739,149.11775377694718,19.28971673767046,129.82803703927678,487.99232985897294,99.05856319198368,388.93376666698924,902.1139493959099,326.6614575454505,575.4524918504595,1155.1125298826628,684.5032362210707,470.6092936615923
2014-10-15,7.32052334217874,2.661043671323091,4.659479670855649,139.12326172766302,19.581323765962093,119.54193796170097,466.1985790762528,98.13196881538278,368.0666102608701,907.8924112592935,325.5828400201437,582.3095712391497,1162.4330532248416,682.4292402669827,480.00381295785905
2014-10-16,8.71136080201953,3.41498355117332,5.296377250846211,108.27198268373678,20.828168540143874,87.44381414359293,459.4693890833356,98.21382058180404,361.2555685015316,916.3110712878527,324.82035396476954,591.4907173230832,1171.144414026861,681.0954345632447,490.04897946361655
2014-10-17,14.258671663504364,3.3380711229381266,10.920600540566237,112.29226248503167,20.878744960849144,91.41351752418255,470.217444971016,97.90679634522954,372.31064862578654,929.8194746029495,324.7212094256739,605.0982651772756,1185.4030856903655,679.6839809385214,505.7191047518443
2014-10-18,17.566001185096926,3.274754391061845,14.291246794035082,113.62391232991484,21.342069970365202,92.28184235954967,470.50059268801465,97.58101184981614,372.91958083819856,945.7903529940745,324.245965487029,621.5443875070455,1202.9690868754624,678.2757825703791,524.6933043050834
2014-10-19,17.025984418110646,3.15316775413884,13.872816663971806,99.58887835745409,21.29553471961276,78.29334363784136,473.98132353099766,97.28048029858977,376.700843232408,962.1038478254396,323.7610527915752,638.3427950338644,1219.9950712935731,676.8738973209499,543.1211739726233
