fecha,nivel_diario_m
2017-08-28,0.7545
2017-08-29,0.828
2017-08-30,0.8864
2017-08-31,1.129
2017-09-01,1.0598
2017-09-02,0.9165
2017-09-03,0.8956
2017-09-04,0.9441
2017-09-05,0.9819
2017-09-06,1.2026
2017-09-07,1.3489
2017-09-08,1.6036
2017-09-09,1.393
2017-09-10,1.3505
2017-09-11,1.7936
2017-09-12,1.7904
2017-09-13,1.1619
2017-09-14,1.0795
2017-09-15,1.1741
2017-09-16,1.2069
2017-09-17,1.0136
2017-09-18,1.0623
2017-09-19,1.134
2017-09-20,1.2893
2017-09-21,1.8186
2017-09-22,3.1185
2017-09-23,2.1302
2017-09-24,1.5398
2017-09-25,1.3211
2017-09-26,1.8709
2017-09-27,2.3147
2017-09-28,1.4291
2017-09-29,1.6531
2017-09-30,1.8074
2017-10-01,1.6434
2017-10-02,2.2957
2017-10-03,2.6045
2017-10-04,4.0377
2017-10-05,10.2934
2017-10-06,5.746
2017-10-07,2.7799
2017-10-08,1.7792
2017-10-09,1.4007
2017-10-10,1.2649
2017-10-11,1.5109
2017-10-12,1.7037
2017-10-13,1.5775
2017-10-14,1.4993
2017-10-15,1.3134
2017-10-16,1.2332
2017-10-17,1.0918
2017-10-18,1.0416
2017-10-19,1.0061
2017-10-20,0.9766
2017-10-21,0.9564
2017-10-22,1.0191
2017-10-23,1.0709
2017-10-24,1.1829
2017-10-25,1.1033
2017-10-26,1.3419
2017-10-27,2.2383
2017-10-28,1.409
2017-10-29,1.1257
2017-10-30,1.0578
2017-10-31,0.9584
2017-11-01,0.9512
2017-11-02,0.9046
2017-11-03,1.0274
2017-11-04,1.2678
2017-11-05,1.5229
2017-11-06,1.7437
2017-11-07,1.7533
2017-11-08,1.7222
2017-11-09,1.6822
2017-11-10,1.6586
2017-11-11,1.6393
2017-11-12,1.657
2017-11-13,1.7256
2017-11-14,1.3362
2017-11-15,2.0012
2017-11-16,1.2231
2017-11-17,0.9986
2017-11-18,0.9276
2017-11-19,0.8916
2017-11-20,0.8654
2017-11-21,0.8502
2017-11-22,0.8458
2017-11-23,0.8294
2017-11-24,0.8333
2017-11-25,0.821
2017-11-26,0.8087
2017-11-27,0.8
2017-11-28,0.8
2017-11-29,0.8
2017-11-30,0.8
2017-12-01,0.8
2017-12-02,0.8
2017-12-03,0.7999
2017-12-04,0.7905
2017-12-05,0.8015
2017-12-06,0.8241
2017-12-07,0.8323
2017-12-08,0.8719
2017-12-09,0.8473
2017-12-10,0.8312
2017-12-11,0.7883
2017-12-12,0.7736
2017-12-13,0.7615
2017-12-14,0.7569
2017-12-15,0.7532
2017-12-16,0.7534
2017-12-17,0.7407
2017-12-18,0.7524
2017-12-19,0.7466
2017-12-20,0.8359
2017-12-21,0.859
2017-12-22,0.7924
2017-12-23,0.7678
2017-12-24,0.7596
2017-12-25,0.7974
2017-12-26,0.7659
2017-12-27,0.7502
2017-12-28,0.7622
2017-12-29,0.8401
2017-12-30,0.9081
2017-12-31,0.8998
2018-01-01,0.8733
2018-01-02,0.8224
2018-01-03,0.8062
2018-01-04,0.7802
2018-01-05,0.7582
2018-01-06,0.7429
2018-01-07,0.7328
2018-01-08,0.7274
2018-01-09,0.7145
2018-01-10,0.705
2018-01-11,0.7
2018-01-12,0.695
2018-01-13,0.686
2018-01-14,0.6855
2018-01-15,0.6812
2018-01-16,0.6802
2018-01-17,0.8006
2018-01-18,0.7973
2018-01-19,0.7617
2018-01-20,0.8661
2018-01-21,0.8649
2018-01-22,0.8097
2018-01-23,0.7594
2018-01-24,0.747
2018-01-25,0.7361
2018-01-26,0.7547
2018-01-27,0.7544
2018-01-28,0.7432
2018-01-29,0.7259
2018-01-30,0.7199
2018-01-31,0.7168
2018-02-01,0.7096
2018-02-02,0.7075
2018-02-03,0.6897
2018-02-04,0.6848
2018-02-05,0.6774
2018-02-06,0.6653
2018-02-07,0.66
2018-02-08,0.6563
2018-02-09,0.658
2018-02-10,0.654
2018-02-11,0.6496
2018-02-12,0.6459
2018-02-13,0.6399
2018-02-14,0.6554
2018-02-15,0.6462
2018-02-16,0.6934
2018-02-17,0.7
2018-02-18,0.7121
2018-02-19,0.6825
2018-02-20,0.656
2018-02-21,0.6461
2018-02-22,0.6471
2018-02-23,0.643
2018-02-24,0.6241
2018-02-25,0.616
2018-02-26,0.6193
2018-02-27,0.6153
2018-02-28,0.6025
2018-03-01,0.602
2018-03-02,0.5986
2018-03-03,0.5883
2018-03-04,0.5825
2018-03-05,0.5878
2018-03-06,0.577
2018-03-07,0.5849
2018-03-08,0.5955
2018-03-09,0.5941
2018-03-10,0.5989
2018-03-11,0.5898
2018-03-12,0.586
2018-03-13,0.5836
2018-03-14,0.5742
2018-03-15,0.5741
2018-03-16,0.5681
2018-03-17,0.5588
2018-03-18,0.5498
2018-03-19,0.5548
2018-03-20,0.5513
2018-03-21,0.55
2018-03-22,0.5515
2018-03-23,0.5459
2018-03-24,0.537
2018-03-25,0.5363
2018-03-26,0.5427
2018-03-27,0.5401
2018-03-28,0.538
2018-03-29,0.5392
2018-03-30,0.544
2018-03-31,0.5407
2018-04-01,0.54
2018-04-02,0.5361
2018-04-03,0.5272
2018-04-04,0.5214
2018-04-05,0.5243
2018-04-06,0.5285
2018-04-07,0.529
2018-04-08,0.5347
2018-04-09,0.5452
2018-04-10,0.5269
2018-04-11,0.52
2018-04-12,0.5153
2018-04-13,0.5111
2018-04-14,0.509
2018-04-15,0.511
2018-04-16,0.5111
2018-04-17,0.5009
2018-04-18,0.497
2018-04-19,0.4948
2018-04-20,0.488
2018-04-21,0.4951
2018-04-22,0.5113
2018-04-23,0.51
2018-04-24,0.5043
2018-04-25,0.4899
2018-04-26,0.49
2018-04-27,0.4895
2018-04-28,0.5035
2018-04-29,0.4872
2018-04-30,0.4806
2018-05-01,0.49
2018-05-02,0.489
2018-05-03,0.4852
2018-05-04,0.483
2018-05-05,0.4777
2018-05-06,0.4752
2018-05-07,0.4768
2018-05-08,0.487
2018-05-09,0.482
2018-05-10,0.4731
2018-05-11,0.4734
2018-05-12,0.4758
2018-05-13,0.4819
2018-05-14,0.48
2018-05-15,0.4869
2018-05-16,0.5156
2018-05-17,0.5571
2018-05-18,0.5822
2018-05-19,0.5532
2018-05-20,0.5361
2018-05-21,0.6381
2018-05-22,0.663
2018-05-23,0.5893
2018-05-24,0.7906
2018-05-25,0.7563
2018-05-26,0.8876
2018-05-27,0.8089
2018-05-28,0.9406
2018-05-29,0.9282
2018-05-30,0.8213
2018-05-31,0.9153
2018-06-01,0.7273
2018-06-02,0.686
2018-06-03,0.6503
2018-06-04,0.6238
2018-06-05,0.6545
2018-06-06,0.6437
2018-06-07,0.6532
2018-06-08,0.6374
2018-06-09,0.7187
2018-06-10,0.9043
2018-06-11,0.9761
2018-06-12,0.9556
2018-06-13,1.1212
2018-06-14,1.1011
2018-06-15,1.1391
2018-06-16,1.0499
2018-06-17,0.9313
2018-06-18,0.8103
2018-06-19,0.9084
2018-06-20,1.0189
2018-06-21,1.1938
2018-06-22,0.949
2018-06-23,0.8891
2018-06-24,0.8906
2018-06-25,0.883
2018-06-26,0.816
2018-06-27,0.7906
2018-06-28,0.7688
2018-06-29,0.758
2018-06-30,0.7594
2018-07-01,0.7549
2018-07-02,0.7664
2018-07-03,0.9102
2018-07-04,0.8168
2018-07-05,0.815
2018-07-06,0.8246
2018-07-07,0.8777
2018-07-08,0.9152
2018-07-09,0.8497
2018-07-10,0.8332
2018-07-11,0.822
2018-07-12,0.8052
2018-07-13,0.7934
2018-07-14,0.8471
2018-07-15,0.9917
2018-07-16,0.9928
2018-07-17,0.9352
2018-07-18,0.8932
2018-07-19,0.9316
2018-07-20,0.8889
2018-07-21,0.8627
2018-07-22,0.8924
2018-07-23,0.8978
2018-07-24,0.8767
2018-07-25,0.8414
2018-07-26,0.8171
2018-07-27,0.8061
2018-07-28,0.7919
